UNIVERSE,ASSET CLASS,CATEGORY,SUB-CATEGORY,AMC,ETF,BENCHMARK INDEX,website_link,SYMBOL,BSE TICKER,ISIN CODE,LAUNCH DATE,AUM(Crores),EXPENSE RATIO,OVERALL TRACKING ERROR,OVERALL TRACKING DIFFERENCE,YEARS ACTIVE
BSE,EQUITY,THEMATIC,Capital Market & Insurance,Edelweiss Mutual Fund,Edelweiss BSE Capital Markets & Insurance ETF,BSE Capital Markets & Insurance TRI,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-bse-captal-markets-insurance-etf,ECAPINSURE,,INF754K01TX4,06-01-2025,15,0.25,0.11,-0.26,0.92
,COMMODITIES,GOLD,,Edelweiss Mutual Fund,Edelweiss Gold ETF,Domestic Price of Gold,https://www.edelweissmf.com/types-of-mutual-funds/precious-metals-fund/edelweiss-gold-etf,EGOLD,140518539,INF754K01SE6,07-11-2023,679.77,0.46,0.42,-2.03,2.09
,COMMODITIES,SILVER,,Edelweiss Mutual Fund,Edelweiss Silver ETF,Domestic Price of Physical Silver,https://www.edelweissmf.com/types-of-mutual-funds/precious-metals-fund/edelweiss-silver-etf,ESILVER,140518548,INF754K01SF3,21-11-2023,567.57,0.46,0.62,-2.34,2.05
BSE,EQUITY,BROADER,BSE Sensex,Edelweiss Mutual Fund,Edelweiss BSE Sensex ETF,S&P BSE Sensex TRI,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-bse-sensex-etf,ESENSEX,,,20-11-2025,15.92,0.06,,,0.07
NSE,EQUITY,BROADER,Nifty 50,Edelweiss Mutual Fund,Edelweiss Nifty 50 ETF,Nifty 50 TRI,https://www.morningstar.in/mutualfunds/f00001syia/Edelweiss-Nifty-50-ETF/detailed-portfolio.aspx,ENIFTY,,INF754K01VX0,27-11-2025,,0.06,,,0.05
,DEBT,LIQUID,,Edelweiss Mutual Fund,Edelweiss Nifty 1D Rate Liquid ETF,Nifty 1D Rate Index,https://www.edelweissmf.com/types-of-mutual-funds/index-fund/edelweiss-nifty-1d-liquid-etf,ELIQUID,,INF754K01VW2,10-10-2025,100.56,0.2,0.2,0.04,0.18
,DEBT,BHARAT BOND,,Edelweiss Mutual Fund,BHARAT Bond ETF April 2033,Nifty BHARAT Bond Index - April 2033,https://www.edelweissmf.com/types-of-mutual-funds/bharat-bond-funds/edelweiss-etf-bharat-bond-2033,EBBETF0433,,INF754K01QX0,19-12-2022,6365.44,0.01,1.43,0.42,2.99
,DEBT,BHARAT BOND,,Edelweiss Mutual Fund,BHARAT Bond ETF April 2031,Nifty BHARAT Bond Index - April 2031,https://www.edelweissmf.com/types-of-mutual-funds/bharat-bond-funds/edelweiss-etf-bharat-bond-2031,EBBETF0431,,INF754K01LE1,29-07-2020,13477.78,0.01,1.22,-0.1,5.38
,DEBT,BHARAT BOND,,Edelweiss Mutual Fund,BHARAT Bond ETF April 2030,Nifty BHARAT Bond Index - April 2030,https://www.edelweissmf.com/types-of-mutual-funds/bharat-bond-funds/edelweiss-etf-bharat-bond-2030,EBBETF0430,,INF754K01KO2,02-01-2020,25429.42,0.01,0.86,-0.12,5.95
,DEBT,BHARAT BOND,,Edelweiss Mutual Fund,BHARAT Bond ETF April 2032,Nifty BHARAT Bond Index - April 2032,https://www.edelweissmf.com/types-of-mutual-funds/bharat-bond-funds/edelweiss-etf-bharat-bond-2032,EBBETF0432,,INF754K01OB1,02-01-2020,"10,792.72",0.01,1.31,0.31,5.95
NSE,EQUITY,BROADER,Nifty 200,Groww Mutual Fund,Groww Nifty 200 ETF,Nifty 200 TRI,https://groww.in/etfs/groww-nifty-etf,GROWWN200,,INF666M01JV1,28-02-2025,0.12,0.35,0,,0.74
NSE,EQUITY,STRATEGIC,Nifty 500 Factor Indices,Groww Mutual Fund,Groww Nifty 500 Momentum 50 ETF,Nifty 500 Momentum 50 TRI,https://groww.in/etfs/groww-nifty-momentum-etf,GROWWMOM50,,INF666M01KJ4,24-04-2025,20.29,0.44,,,0.59
NSE,EQUITY,STRATEGIC,Nifty 500 Factor Indices,Groww Mutual Fund,Groww Nifty 500 Low Volatility 50 ETF,Nifty 500 Low Volatility 50 TRI,https://groww.in/etfs/groww-nifty-500-low-volatility-50-etf-ltd,GROWWLOVOL,,INF666M01LB9,17-06-2025,4.79,0.32,,,0.44
NSE,EQUITY,BROADER,Nifty 50,Groww Mutual Fund,Groww Nifty 50 ETF,Nifty 50 TRI,https://www.growwmf.in/downloads/sid,GROWWNIFTY,,INF666M01LL8,22-07-2025,12,0.16,0,,0.3
NSE,EQUITY,BROADER,Nifty Next 50,Groww Mutual Fund,Groww Nifty Next 50 ETF,Nifty Next 50 TRI,https://groww.in/etfs/groww-nifty-next-50-etf-ltd,GROWWNXT50,,INF666M01LZ8,26-08-2025,,0,0,,0.24
NSE,EQUITY,BROADER,Nifty SmallCap 250,Groww Mutual Fund,Groww Nifty SmallCap ETF,Nifty SmallCap 250 TRI,https://groww.in/etfs/groww-nifty-smallcap-etf,GROWWSC250,,INF666M01MO0,30-10-2025,8.22,0.3,0,,0.07
NSE,EQUITY,SECTORAL,REALTY,Groww Mutual Fund,Groww Nifty Realty ETF,Nifty Realty TRI,https://groww.in/etfs/groww-nifty-realty-etf-ltd,GROWWRLTY,,INF666M01MN2,09-10-2025,7.44,0.42,0,,0.16
