etf_id,assetid,subclassid,sub_subclassid,amcid,ETF,SYMBOL,isin_code,Holding,Amount,,
26,,,,,,,INF209KC1134,Cash & Current Assets,3.94,,
27,4,8,,24,Aditya Birla Sun Life CRISIL Liquid Overnight ETF,ABSLLIQUID,INF209KB18T9,Cash & Current Assets,100,,
28,3,5,,3,360 ONE Gold ETF,GOLD360,INF579M01BB5,Gold,96.63,,
28,,,,,,,INF579M01BB5,Net Receivables / (Payables),2.27,,
28,,,,,,,INF579M01BB5,Treps,1.09,,
29,3,5,,24,Aditya Birla Sun Life Gold ETF - Growth,BSLGOLDETF,INF209KB18D3,Gold,98.55,,
29,,,,,,,INF209KB18D3,Net Receivables / (Payables),1.35,,
29,,,,,,,INF209KB18D3,Clearing Corporation Of India Limited,0.11,,
30,3,5,,16,Angel One Gold ETF,AONEGOLD,INF1J2R01114,Gold 1 Kg Bar (995 Fineness),95.32,,
30,,,,,,,INF1J2R01114,Net Current Assets,2.55,,
30,,,,,,,INF1J2R01114,Gold 1 Kg Bar (999 Fineness),1.91,,
30,,,,,,,INF1J2R01114,Clearing Corporation Of India Limited,0.22,,
31,3,5,,10,AXIS Gold Exchange Traded Fund,AXISGOLD,INF846K01W80,Gold,98.35,,
31,,,,,,,INF846K01W80,"Debt, Cash & other current assets",1.65,,
32,3,5,,7,Bandhan Gold ETF,GOLDBND,INF194KB1KJ7,,,,
33,3,5,,23,Baroda BNP Paribas Gold ETF,BBNPPGOLD,INF251K01SU9,Gold 995 1kg Bar,97.88,,
33,,,,,,,INF251K01SU9,Net Receivables / (Payables),1.83,,
33,,,,,,,INF251K01SU9,Clearing Corporation Of India Limited,0.29,,
34,3,5,,5,Choice Gold ETF,CHOICEGOLD,INF2KCX01012,Gold 995 Purity,95.21,,
34,,,,,,,INF2KCX01012,Gold 999 Purity,1.91,,
34,,,,,,,INF2KCX01012,Net Current Assets,2.88,,
35,3,5,,25,DSP Gold ETF,GOLDETFADD,INF740KA1SW3,Gold ,98.2,,
36,3,5,,14,Edelweiss Gold ETF,EGOLD,INF754K01SE6,Gold,97.57,,
36,,,,,,,INF754K01SE6,Net Receivables/(Payables),2.33,,
36,,,,,,,INF754K01SE6,Clearing Corporation Of India Ltd,0.1,,
37,3,5,,6,Groww Gold ETF,GROWWGOLD,INF666M01IW1,Gold,97.39,,
37,,,,,,,INF666M01IW1,Net Receivable/Payable,2.61,,
38,3,5,,21,HDFC Gold Exchange Traded Fund,HDFCGOLD,INF179KC1981,Gold,98.58,,
38,,,,,,,INF179KC1981,Net Current Assets,1.28,,
38,,,,,,,INF179KC1981,Treps - Tri-Party Repo,0.14,,
39,3,5,,9,ICICI Prudential Gold ETF,GOLDIETF,INF109KC1NT3,Gold (995 Purity),98.4,,
39,,,,,,,INF109KC1NT3,Treps,0.86,,
39,,,,,,,INF109KC1NT3,Net Current Assets,0.73,,
40,3,5,,13,Invesco India Gold Exchange Tradaed Fund - Open Ended,IVZINGOLD,INF205K01361,Gold ,98.58,,
40,,,,,,,INF205K01361,Cash & Cash Equivalents,1.42,,
41,3,5,,26,Kotak Gold Exchange Traded Fund,GOLD1,INF174KA1HJ8,Gold 1 Kg Fineness 0.995,53.72,,
41,,,,,,,INF174KA1HJ8,Gold 1 Kg Fineness 0.995 - Gujarat,44.83,,
41,,,,,,,INF174KA1HJ8,Net Current Assets/(Liabilities),1.09,,
41,,,,,,,INF174KA1HJ8,Triparty Repo,0.35,,
42,3,5,,17,LIC MF Gold Exchange Traded Fund,LICMFGOLD,INF397L01554,Gold,98.63,,
42,,,,,,,INF397L01554,Net Receivables / (Payables),1.35,,
42,,,,,,,INF397L01554,Treps,0.02,,
43,3,5,,8,Mirae Asset Gold ETF,GOLDETF,INF769K01JP9,(A) Gold 995,97.82,,
43,,,,,,,INF769K01JP9,Net Receivables / (Payables),2.07,,
43,,,,,,,INF769K01JP9,Treps,0.11,,
